,Aircraft,Type Of Traveller,Trip Verified,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Value For Money,Wifi & Connectivity,Recommended
598,A322,Solo Leisure,Yes,Premium Economy,NA,2020-02-01,4.0,5.0,5.0,1.0,5.0,5,0.0,yes
599,A321,Family Leisure,Yes,Economy Class,Manila to Tokyo Narita,2020-01-01,4.0,5.0,4.0,2.0,3.0,4,0.0,yes
600,NA,Solo Leisure,Yes,Economy Class,Manila to Dammam,2019-07-01,1.0,1.0,1.0,0.0,1.0,1,0.0,no
601,A350-900,Solo Leisure,Yes,Business Class,Manila to Toronto,2019-08-01,5.0,5.0,5.0,5.0,4.0,5,5.0,yes
602,NA,Solo Leisure,Yes,Economy Class,Auckland to Osaka via Manila,2020-01-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
603,NA,Family Leisure,Yes,Economy Class,Sydney to Manila,2021-12-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
604,NA,Family Leisure,Yes,Economy Class,Toronto to Manila via Vancouver,2021-12-01,3.0,4.0,3.0,4.0,2.0,1,0.0,no
605,NA,Couple Leisure,Yes,Economy Class,London to Manila,2020-05-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
606,NA,Solo Leisure,Yes,Business Class,Melbourne to Manila,2020-09-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
607,NA,Family Leisure,No,Economy Class,Toronto to Kuala Lumpur via Manila,2020-09-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
608,NA,Solo Leisure,Yes,Economy Class,Vancouver to Manila,2020-07-01,4.0,4.0,0.0,0.0,3.0,1,0.0,no
609,NA,Solo Leisure,Yes,Economy Class,Dammam to Manila,2020-11-01,3.0,3.0,3.0,3.0,3.0,3,3.0,no
610,NA,Solo Leisure,Yes,Economy Class,Manila to Brisbane,2020-12-01,4.0,5.0,4.0,0.0,5.0,5,0.0,yes
611,NA,Solo Leisure,Yes,Economy Class,Tokyo Narita to Cebu,2021-05-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
612,A321neo,Family Leisure,Yes,Economy Class,Melbourne to Manila,2022-05-01,4.0,2.0,2.0,3.0,5.0,4,2.0,yes
613,A321,Business,Yes,Economy Class,Jakarta to Manila,2022-06-01,1.0,4.0,2.0,1.0,2.0,1,1.0,no
614,NA,Business,Yes,Economy Class,Manila to Ho Chi Minh City,2021-11-01,3.0,5.0,2.0,2.0,1.0,1,1.0,no
615,A320,Solo Leisure,Yes,Economy Class,Manila to Panglao,2022-05-01,4.0,5.0,3.0,0.0,5.0,5,0.0,yes
616,NA,Couple Leisure,Yes,Business Class,Los Angeles to Australia via Manila,2022-05-01,5.0,5.0,5.0,3.0,1.0,3,1.0,no
617,NA,Business,No,First Class,Los Angeles to Hong Kong via Manila,2022-05-01,3.0,1.0,1.0,1.0,2.0,2,2.0,no
618,Boeing 777 / A330 ,Family Leisure,No,Economy Class,Chicago to Manila,2022-04-01,2.0,3.0,3.0,3.0,1.0,2,0.0,no
619,DHC-8 Dash 8,Solo Leisure,Yes,Economy Class,Legazpi to Manila,2022-05-01,5.0,5.0,4.0,0.0,5.0,5,0.0,yes
620,A320,Family Leisure,Yes,Economy Class,Manila to Caticlan (Boracay),2022-05-01,4.0,4.0,3.0,0.0,5.0,5,0.0,yes
621,A330,Solo Leisure,Yes,Economy Class,Riyadh to Manila,2021-04-01,4.0,4.0,4.0,0.0,5.0,5,0.0,yes
622,NA,Solo Leisure,Yes,Economy Class,Los Angeles to Manila,2021-04-01,1.0,1.0,0.0,0.0,1.0,1,0.0,no
623,NA,Business,Yes,Economy Class,Manila to Sydney,2021-04-01,1.0,1.0,0.0,0.0,1.0,1,0.0,no
624,NA,Solo Leisure,Yes,Business Class,San Francisco to Manila,2020-05-01,2.0,3.0,0.0,0.0,1.0,1,0.0,no
625,NA,Solo Leisure,No,Economy Class,Cebu to Tacloban,2021-03-01,1.0,1.0,0.0,0.0,1.0,1,0.0,no
626,Boeing 777,Family Leisure,Yes,Economy Class,Manila to Toronto,2021-02-01,1.0,3.0,2.0,2.0,1.0,2,3.0,no
627,NA,Family Leisure,Yes,Economy Class,Los Angeles to Manila,2020-02-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
628,A330,Solo Leisure,Yes,Economy Class,Riyadh to Manila,2020-12-01,5.0,5.0,4.0,5.0,5.0,5,0.0,yes
629,NA,Solo Leisure,Yes,Economy Class,Los Angeles to Manila,2020-04-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
630,A320,Solo Leisure,Yes,Economy Class,Cebu to Manila,2020-09-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
631,Boeing 777,Solo Leisure,Yes,Business Class,Los Angeles to Manila,2020-09-01,4.0,5.0,1.0,2.0,2.0,2,1.0,no
632,NA,Couple Leisure,Yes,Economy Class,Bangkok to London via Manila,2020-03-01,4.0,4.0,0.0,0.0,3.0,1,0.0,no
633,NA,Family Leisure,Yes,Economy Class,Los Angeles to Manila,2019-11-01,3.0,3.0,3.0,3.0,1.0,1,3.0,no
634,A330,Solo Leisure,No,Economy Class,Riyadh to Manila,2020-01-01,3.0,5.0,5.0,0.0,5.0,5,4.0,yes
635,A330-300,Business,Yes,Economy Class,Melbourne to Manila,2020-01-01,4.0,5.0,5.0,4.0,2.0,5,4.0,yes
636,NA,Solo Leisure,Yes,Economy Class,London to Kuala Lumpur via Manila,2020-03-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
637,NA,Solo Leisure,Yes,Economy Class,Manila to Bacolod,2020-02-01,4.0,4.0,0.0,0.0,1.0,3,0.0,no
638,NA,Family Leisure,Yes,Economy Class,San Francisco to Osaka via Manila,2020-03-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
639,A330-333,Solo Leisure,Yes,Business Class,Honolulu to Manila,2019-10-01,4.0,3.0,4.0,5.0,3.0,3,0.0,yes
640,NA,Solo Leisure,Yes,Business Class,Davao to Manila,2019-05-01,2.0,4.0,2.0,0.0,4.0,1,0.0,no
641,NA,Couple Leisure,Yes,Economy Class,Kuala Lumpur to Los Angeles via Manila,2019-09-01,4.0,4.0,4.0,5.0,2.0,3,0.0,no
642,NA,Business,Yes,Business Class,Brisbane to Manila,2019-09-01,2.0,3.0,2.0,1.0,1.0,2,3.0,no
643,A330-300,Solo Leisure,Yes,Economy Class,Manila to Riyadh,2019-09-01,4.0,5.0,4.0,4.0,5.0,5,4.0,yes
644,A350-900,Solo Leisure,Yes,Economy Class,Manila to London Heathrow,2019-09-01,4.0,5.0,4.0,4.0,4.0,5,4.0,yes
645,A330-300,Solo Leisure,Yes,Economy Class,Riyadh to Manila,2019-09-01,4.0,5.0,4.0,3.0,5.0,5,3.0,yes
646,A321NEO,Couple Leisure,Yes,Business Class,Brisbane to Manila,2019-09-01,5.0,3.0,5.0,5.0,5.0,3,3.0,yes
647,A321-200,Business,Yes,Business Class,Manila to Cebu,2019-09-01,5.0,5.0,5.0,0.0,5.0,5,0.0,yes
648,NA,Solo Leisure,Yes,Business Class,Manila to Melbourne,2022-11-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
649,A321 / A330,Couple Leisure,Yes,Business Class,Singapore to Melbourne via Manila,2022-10-01,2.0,3.0,2.0,2.0,1.0,3,0.0,no
650,NA,Couple Leisure,Yes,Economy Class,Los Angeles to Manila,2022-04-01,0.0,0.0,0.0,0.0,0.0,3,0.0,no
651,NA,Solo Leisure,No,Economy Class,Manila to San Francisco,2022-11-01,1.0,1.0,1.0,1.0,1.0,1,1.0,no
652,NA,Family Leisure,Yes,Economy Class,Canada to Philippines,2022-11-01,3.0,3.0,3.0,3.0,1.0,1,3.0,no
653,NA,Couple Leisure,Yes,Economy Class,Hanoi to Manila,2022-11-01,4.0,4.0,4.0,0.0,4.0,2,0.0,no
654,NA,Solo Leisure,Yes,Economy Class,Manila via Los Angeles,2022-11-01,3.0,3.0,2.0,3.0,1.0,3,0.0,no
655,NA,Business,Yes,Economy Class,Manila to Los Angeles,2022-10-01,2.0,1.0,1.0,1.0,4.0,1,1.0,no
656,NA,Solo Leisure,Yes,Economy Class,Davao to San Francisco via Manila,2022-11-01,3.0,3.0,1.0,0.0,1.0,3,0.0,no
657,NA,Solo Leisure,Yes,Economy Class,Singapore to Melbourne via Manila,2022-09-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
658,NA,Solo Leisure,Yes,Economy Class,Puerto Princesa to Cebu,2022-09-01,0.0,0.0,0.0,0.0,2.0,2,0.0,no
659,NA,Couple Leisure,No,Economy Class,Dubai to Melbourne via Manila,2022-09-01,1.0,2.0,2.0,1.0,1.0,1,1.0,no
660,NA,Couple Leisure,Yes,Economy Class,Manila to Los Angeles,2022-04-01,1.0,2.0,1.0,1.0,1.0,1,2.0,no
661,Boeing 777,Solo Leisure,Yes,Economy Class,Manila to Los Angeles ,2022-09-01,3.0,3.0,4.0,3.0,1.0,1,0.0,no
662,NA,Solo Leisure,Yes,Economy Class,Ho chi Minh City to Los Angeles via Manila,2022-09-01,1.0,1.0,1.0,5.0,1.0,1,1.0,no
663,NA,Family Leisure,Yes,Economy Class,Kuala Lumpur to Caticlan via Manila,2022-09-01,1.0,2.0,0.0,0.0,1.0,1,0.0,no
664,NA,Solo Leisure,Yes,Economy Class,Phnomh Pen to San Francisco via Manila,2022-09-01,3.0,5.0,2.0,3.0,1.0,2,3.0,no
665,NA,Solo Leisure,No,Economy Class,Sydney to Los Angeles via Manila,2022-08-01,1.0,2.0,1.0,0.0,1.0,1,0.0,no
666,NA,Solo Leisure,Yes,Business Class,Bangkok to Manila,2022-05-01,2.0,5.0,4.0,1.0,1.0,1,1.0,no
667,NA,Family Leisure,Yes,Economy Class,Bangkok to San Francisco via Manila,2022-04-01,1.0,2.0,2.0,2.0,1.0,2,1.0,no
668,NA,Solo Leisure,Yes,Economy Class,Ho Chi Minh City to San Francisco via Manila,2022-05-01,1.0,1.0,1.0,1.0,1.0,1,1.0,no
669,A330,Solo Leisure,Yes,Economy Class,Riyadh to Manila,2022-04-01,4.0,5.0,4.0,0.0,5.0,5,0.0,yes
670,NA,Solo Leisure,Yes,Economy Class,Dubai to Manila,2021-05-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
671,NA,Family Leisure,Yes,Economy Class,Sydney to Manila,2021-05-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
672,NA,Family Leisure,Yes,Economy Class,Manila to Fukuoka,2020-03-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
673,A321,Solo Leisure,No,Economy Class,Singapore to Manila,2022-03-01,1.0,3.0,2.0,0.0,1.0,1,0.0,no
674,NA,Family Leisure,Yes,Economy Class,Brisbane to Manila,2022-03-01,0.0,0.0,0.0,0.0,0.0,3,0.0,no
675,A330,Business,Yes,Economy Class,Sydney to Hong Kong via Manila,2022-11-01,4.0,5.0,4.0,5.0,5.0,5,2.0,yes
676,NA,Family Leisure,No,Economy Class,Manila to Dubai,2022-10-01,3.0,3.0,3.0,0.0,1.0,4,0.0,no
677,NA,Couple Leisure,Yes,Economy Class,Honolulu to Denpasar via Manila,2022-10-01,3.0,1.0,1.0,4.0,1.0,4,0.0,no
678,NA,Solo Leisure,Yes,Economy Class,Los Angeles to Melbourne via Manila,2022-10-01,2.0,4.0,3.0,2.0,1.0,3,1.0,no
679,NA,Solo Leisure,Yes,Economy Class,Del Carme Siago to Denpasar via Manila,2022-10-01,5.0,5.0,0.0,0.0,2.0,2,0.0,no
680,NA,Couple Leisure,Yes,Economy Class,Manila to Tagbilaran ,2022-10-01,4.0,4.0,1.0,0.0,3.0,1,0.0,no
681,Boeing 777,Couple Leisure,No,Economy Class,Los Angeles to Manila,2022-09-01,1.0,3.0,1.0,1.0,2.0,1,1.0,no
682,Boeing 777,Solo Leisure,Yes,Business Class,Vancouver to Bangkok via Manila,2022-10-01,2.0,4.0,3.0,1.0,1.0,2,1.0,no
683,NA,Couple Leisure,Yes,Economy Class,Manila to Vancouver,2022-09-01,2.0,3.0,3.0,1.0,3.0,2,3.0,no
684,NA,Family Leisure,No,Business Class,Bangkok to Los Angeles via Manila,2022-08-01,2.0,2.0,1.0,1.0,1.0,1,1.0,no
685,NA,Solo Leisure,Yes,Economy Class,San Francisco to Manila,2022-08-01,1.0,1.0,0.0,0.0,1.0,1,0.0,no
686,NA,Family Leisure,Yes,Economy Class,Los Angeles to Manila,2022-08-01,1.0,1.0,1.0,1.0,2.0,1,1.0,no
687,A321,Business,Yes,Economy Class,Manila to Jakarta,2022-05-01,4.0,5.0,5.0,4.0,2.0,5,0.0,yes
688,NA,Solo Leisure,Yes,Economy Class,Manilla to Laoag International Airport,2022-07-01,4.0,5.0,4.0,0.0,3.0,5,0.0,yes
689,NA,Solo Leisure,Yes,Economy Class,Melbourne to Cebu via Manila,2022-07-01,2.0,4.0,3.0,3.0,2.0,2,1.0,no
690,Boeing 777,Solo Leisure,Yes,Economy Class,Los Angeles to Cebu via Manila,2022-04-01,3.0,4.0,3.0,3.0,1.0,1,3.0,no
691,NA,Solo Leisure,No,Economy Class,Sydney to Jakarta via Manila,2022-07-01,1.0,1.0,0.0,0.0,1.0,1,0.0,no
692,Boeing 777-200ER,Couple Leisure,Yes,Business Class,Manila to Los Angeles,2022-07-01,2.0,4.0,4.0,2.0,1.0,1,1.0,no
693,A330,Business,Yes,Economy Class,Incheon via Manila,2019-08-01,1.0,4.0,3.0,0.0,2.0,3,0.0,no
694,A330-300,Solo Leisure,Yes,Economy Class,Manila to Riyadh,2019-06-01,5.0,5.0,5.0,5.0,5.0,5,5.0,yes
695,A330-300,Solo Leisure,Yes,Economy Class,Riyadh to Manila,2019-06-01,5.0,5.0,5.0,5.0,4.0,5,5.0,yes
696,NA,Solo Leisure,Yes,Economy Class,New York to Manila,2019-09-01,3.0,5.0,3.0,4.0,1.0,3,0.0,no
697,NA,Solo Leisure,Yes,Economy Class,Philippines to Toronto ,2019-04-01,1.0,1.0,2.0,3.0,1.0,1,2.0,no
698,A321-231,Couple Leisure,Yes,Economy Class,Manila to Cebu,2019-02-01,4.0,5.0,3.0,0.0,4.0,5,0.0,yes
699,NA,Solo Leisure,Yes,Economy Class,Dubai to Hong Kong via Manila,2019-05-01,1.0,1.0,0.0,0.0,1.0,1,0.0,no
700,A330-343,Solo Leisure,Yes,Business Class,Dubai to Manila,2019-01-01,4.0,5.0,4.0,2.0,4.0,4,0.0,yes
701,A321-200,Business,Yes,Economy Class,Cebu to Manila,2019-08-01,3.0,3.0,0.0,0.0,1.0,2,0.0,no
702,NA,Solo Leisure,No,Economy Class,Cebu to Clark,2019-12-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
703,NA,Family Leisure,Yes,Economy Class,Manila to Cebu,2019-12-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
704,Boeing 777,Couple Leisure,Yes,Economy Class,Vancouver to Manila,2019-11-01,5.0,5.0,5.0,5.0,5.0,5,0.0,yes
705,NA,Couple Leisure,Yes,Economy Class,Dubai to Manila,2019-11-01,1.0,1.0,0.0,0.0,1.0,1,0.0,no
706,Boeing 777,Couple Leisure,Yes,Business Class,Manila to San Francisco,2019-11-01,5.0,5.0,5.0,4.0,4.0,4,4.0,yes
707,A320,Solo Leisure,No,Economy Class,Dumaguete to Manila,2019-11-01,2.0,3.0,2.0,0.0,2.0,2,0.0,no
708,NA,Couple Leisure,Yes,Economy Class,Manila to Melbourne ,2019-09-01,3.0,4.0,3.0,4.0,3.0,4,0.0,yes
709,NA,Solo Leisure,Yes,Economy Class,Honolulu to Manila,2019-11-01,3.0,1.0,1.0,3.0,3.0,2,3.0,no
710,NA,Business,Yes,Economy Class,Bangkok to Manila,2019-10-01,4.0,4.0,3.0,5.0,5.0,5,0.0,yes
711,NA,Couple Leisure,Yes,Economy Class,Vancouver to Manila,2019-12-01,1.0,1.0,1.0,0.0,1.0,1,0.0,no
712,A321-200 Neo,Business,Yes,Economy Class,Manila to Nagoya,2020-02-01,5.0,4.0,3.0,5.0,5.0,4,0.0,yes
713,NA,Solo Leisure,Yes,Economy Class,Manila to London,2020-02-01,4.0,5.0,5.0,5.0,5.0,5,0.0,yes
714,NA,Solo Leisure,Yes,Economy Class,Tokyo to Bali via Manila,2020-02-01,2.0,3.0,3.0,0.0,1.0,2,0.0,no
715,A322,Solo Leisure,Yes,Premium Economy,NA,2020-02-01,4.0,5.0,5.0,1.0,5.0,5,0.0,yes
716,A321,Family Leisure,Yes,Economy Class,Manila to Tokyo Narita,2020-01-01,4.0,5.0,4.0,2.0,3.0,4,0.0,yes
717,NA,Solo Leisure,Yes,Economy Class,Manila to Dammam,2019-07-01,1.0,1.0,1.0,0.0,1.0,1,0.0,no
718,A350-900,Solo Leisure,Yes,Business Class,Manila to Toronto,2019-08-01,5.0,5.0,5.0,5.0,4.0,5,5.0,yes
719,NA,Solo Leisure,Yes,Economy Class,Auckland to Osaka via Manila,2020-01-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
720,NA,Family Leisure,Yes,Economy Class,Sydney to Manila,2021-12-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
721,NA,Family Leisure,Yes,Economy Class,Toronto to Manila via Vancouver,2021-12-01,3.0,4.0,3.0,4.0,2.0,1,0.0,no
722,NA,Couple Leisure,Yes,Economy Class,London to Manila,2020-05-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
723,NA,Solo Leisure,Yes,Business Class,Melbourne to Manila,2020-09-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
724,NA,Family Leisure,No,Economy Class,Toronto to Kuala Lumpur via Manila,2020-09-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
725,NA,Solo Leisure,Yes,Economy Class,Vancouver to Manila,2020-07-01,4.0,4.0,0.0,0.0,3.0,1,0.0,no
726,NA,Solo Leisure,Yes,Economy Class,Dammam to Manila,2020-11-01,3.0,3.0,3.0,3.0,3.0,3,3.0,no
727,NA,Solo Leisure,Yes,Economy Class,Manila to Brisbane,2020-12-01,4.0,5.0,4.0,0.0,5.0,5,0.0,yes
728,NA,Solo Leisure,Yes,Economy Class,Tokyo Narita to Cebu,2021-05-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
729,A321neo,Family Leisure,Yes,Economy Class,Melbourne to Manila,2022-05-01,4.0,2.0,2.0,3.0,5.0,4,2.0,yes
730,A321,Business,Yes,Economy Class,Jakarta to Manila,2022-06-01,1.0,4.0,2.0,1.0,2.0,1,1.0,no
731,NA,Business,Yes,Economy Class,Manila to Ho Chi Minh City,2021-11-01,3.0,5.0,2.0,2.0,1.0,1,1.0,no
732,A320,Solo Leisure,Yes,Economy Class,Manila to Panglao,2022-05-01,4.0,5.0,3.0,0.0,5.0,5,0.0,yes
733,NA,Couple Leisure,Yes,Business Class,Los Angeles to Australia via Manila,2022-05-01,5.0,5.0,5.0,3.0,1.0,3,1.0,no
734,NA,Business,No,First Class,Los Angeles to Hong Kong via Manila,2022-05-01,3.0,1.0,1.0,1.0,2.0,2,2.0,no
735,Boeing 777 / A330 ,Family Leisure,No,Economy Class,Chicago to Manila,2022-04-01,2.0,3.0,3.0,3.0,1.0,2,0.0,no
736,DHC-8 Dash 8,Solo Leisure,Yes,Economy Class,Legazpi to Manila,2022-05-01,5.0,5.0,4.0,0.0,5.0,5,0.0,yes
737,A320,Family Leisure,Yes,Economy Class,Manila to Caticlan (Boracay),2022-05-01,4.0,4.0,3.0,0.0,5.0,5,0.0,yes
738,A330,Solo Leisure,Yes,Economy Class,Riyadh to Manila,2021-04-01,4.0,4.0,4.0,0.0,5.0,5,0.0,yes
739,NA,Solo Leisure,Yes,Economy Class,Los Angeles to Manila,2021-04-01,1.0,1.0,0.0,0.0,1.0,1,0.0,no
740,NA,Business,Yes,Economy Class,Manila to Sydney,2021-04-01,1.0,1.0,0.0,0.0,1.0,1,0.0,no
741,NA,Solo Leisure,Yes,Business Class,San Francisco to Manila,2020-05-01,2.0,3.0,0.0,0.0,1.0,1,0.0,no
742,NA,Solo Leisure,No,Economy Class,Cebu to Tacloban,2021-03-01,1.0,1.0,0.0,0.0,1.0,1,0.0,no
743,Boeing 777,Family Leisure,Yes,Economy Class,Manila to Toronto,2021-02-01,1.0,3.0,2.0,2.0,1.0,2,3.0,no
744,NA,Family Leisure,Yes,Economy Class,Los Angeles to Manila,2020-02-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
745,A330,Solo Leisure,Yes,Economy Class,Riyadh to Manila,2020-12-01,5.0,5.0,4.0,5.0,5.0,5,0.0,yes
746,NA,Solo Leisure,Yes,Economy Class,Los Angeles to Manila,2020-04-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
747,A320,Solo Leisure,Yes,Economy Class,Cebu to Manila,2020-09-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
748,Boeing 777,Solo Leisure,Yes,Business Class,Los Angeles to Manila,2020-09-01,4.0,5.0,1.0,2.0,2.0,2,1.0,no
749,NA,Couple Leisure,Yes,Economy Class,Bangkok to London via Manila,2020-03-01,4.0,4.0,0.0,0.0,3.0,1,0.0,no
750,NA,Family Leisure,Yes,Economy Class,Los Angeles to Manila,2019-11-01,3.0,3.0,3.0,3.0,1.0,1,3.0,no
751,A330,Solo Leisure,No,Economy Class,Riyadh to Manila,2020-01-01,3.0,5.0,5.0,0.0,5.0,5,4.0,yes
752,A330-300,Business,Yes,Economy Class,Melbourne to Manila,2020-01-01,4.0,5.0,5.0,4.0,2.0,5,4.0,yes
753,NA,Solo Leisure,Yes,Economy Class,London to Kuala Lumpur via Manila,2020-03-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
754,NA,Solo Leisure,Yes,Economy Class,Manila to Bacolod,2020-02-01,4.0,4.0,0.0,0.0,1.0,3,0.0,no
755,NA,Family Leisure,Yes,Economy Class,San Francisco to Osaka via Manila,2020-03-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
756,A330-333,Solo Leisure,Yes,Business Class,Honolulu to Manila,2019-10-01,4.0,3.0,4.0,5.0,3.0,3,0.0,yes
757,NA,Solo Leisure,Yes,Business Class,Davao to Manila,2019-05-01,2.0,4.0,2.0,0.0,4.0,1,0.0,no
758,NA,Couple Leisure,Yes,Economy Class,Kuala Lumpur to Los Angeles via Manila,2019-09-01,4.0,4.0,4.0,5.0,2.0,3,0.0,no
759,NA,Business,Yes,Business Class,Brisbane to Manila,2019-09-01,2.0,3.0,2.0,1.0,1.0,2,3.0,no
760,A330-300,Solo Leisure,Yes,Economy Class,Manila to Riyadh,2019-09-01,4.0,5.0,4.0,4.0,5.0,5,4.0,yes
761,A350-900,Solo Leisure,Yes,Economy Class,Manila to London Heathrow,2019-09-01,4.0,5.0,4.0,4.0,4.0,5,4.0,yes
762,A330-300,Solo Leisure,Yes,Economy Class,Riyadh to Manila,2019-09-01,4.0,5.0,4.0,3.0,5.0,5,3.0,yes
763,A321NEO,Couple Leisure,Yes,Business Class,Brisbane to Manila,2019-09-01,5.0,3.0,5.0,5.0,5.0,3,3.0,yes
764,A321-200,Business,Yes,Business Class,Manila to Cebu,2019-09-01,5.0,5.0,5.0,0.0,5.0,5,0.0,yes
765,NA,Solo Leisure,Yes,Business Class,Manila to Melbourne,2022-11-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
766,A321 / A330,Couple Leisure,Yes,Business Class,Singapore to Melbourne via Manila,2022-10-01,2.0,3.0,2.0,2.0,1.0,3,0.0,no
767,NA,Couple Leisure,Yes,Economy Class,Los Angeles to Manila,2022-04-01,0.0,0.0,0.0,0.0,0.0,3,0.0,no
768,NA,Solo Leisure,No,Economy Class,Manila to San Francisco,2022-11-01,1.0,1.0,1.0,1.0,1.0,1,1.0,no
769,NA,Family Leisure,Yes,Economy Class,Canada to Philippines,2022-11-01,3.0,3.0,3.0,3.0,1.0,1,3.0,no
770,NA,Couple Leisure,Yes,Economy Class,Hanoi to Manila,2022-11-01,4.0,4.0,4.0,0.0,4.0,2,0.0,no
771,NA,Solo Leisure,Yes,Economy Class,Manila via Los Angeles,2022-11-01,3.0,3.0,2.0,3.0,1.0,3,0.0,no
772,NA,Business,Yes,Economy Class,Manila to Los Angeles,2022-10-01,2.0,1.0,1.0,1.0,4.0,1,1.0,no
773,NA,Solo Leisure,Yes,Economy Class,Davao to San Francisco via Manila,2022-11-01,3.0,3.0,1.0,0.0,1.0,3,0.0,no
774,NA,Solo Leisure,Yes,Economy Class,Singapore to Melbourne via Manila,2022-09-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
775,NA,Solo Leisure,Yes,Economy Class,Puerto Princesa to Cebu,2022-09-01,0.0,0.0,0.0,0.0,2.0,2,0.0,no
776,NA,Couple Leisure,No,Economy Class,Dubai to Melbourne via Manila,2022-09-01,1.0,2.0,2.0,1.0,1.0,1,1.0,no
777,NA,Couple Leisure,Yes,Economy Class,Manila to Los Angeles,2022-04-01,1.0,2.0,1.0,1.0,1.0,1,2.0,no
778,Boeing 777,Solo Leisure,Yes,Economy Class,Manila to Los Angeles ,2022-09-01,3.0,3.0,4.0,3.0,1.0,1,0.0,no
779,NA,Solo Leisure,Yes,Economy Class,Ho chi Minh City to Los Angeles via Manila,2022-09-01,1.0,1.0,1.0,5.0,1.0,1,1.0,no
780,NA,Family Leisure,Yes,Economy Class,Kuala Lumpur to Caticlan via Manila,2022-09-01,1.0,2.0,0.0,0.0,1.0,1,0.0,no
781,NA,Solo Leisure,Yes,Economy Class,Phnomh Pen to San Francisco via Manila,2022-09-01,3.0,5.0,2.0,3.0,1.0,2,3.0,no
782,NA,Solo Leisure,No,Economy Class,Sydney to Los Angeles via Manila,2022-08-01,1.0,2.0,1.0,0.0,1.0,1,0.0,no
783,NA,Solo Leisure,Yes,Business Class,Bangkok to Manila,2022-05-01,2.0,5.0,4.0,1.0,1.0,1,1.0,no
784,NA,Family Leisure,Yes,Economy Class,Bangkok to San Francisco via Manila,2022-04-01,1.0,2.0,2.0,2.0,1.0,2,1.0,no
785,NA,Solo Leisure,Yes,Economy Class,Ho Chi Minh City to San Francisco via Manila,2022-05-01,1.0,1.0,1.0,1.0,1.0,1,1.0,no
786,A330,Solo Leisure,Yes,Economy Class,Riyadh to Manila,2022-04-01,4.0,5.0,4.0,0.0,5.0,5,0.0,yes
787,NA,Solo Leisure,Yes,Economy Class,Dubai to Manila,2021-05-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
788,NA,Family Leisure,Yes,Economy Class,Sydney to Manila,2021-05-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
789,NA,Family Leisure,Yes,Economy Class,Manila to Fukuoka,2020-03-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
790,A321,Solo Leisure,No,Economy Class,Singapore to Manila,2022-03-01,1.0,3.0,2.0,0.0,1.0,1,0.0,no
791,NA,Family Leisure,Yes,Economy Class,Brisbane to Manila,2022-03-01,0.0,0.0,0.0,0.0,0.0,3,0.0,no
792,A330,Business,Yes,Economy Class,Sydney to Hong Kong via Manila,2022-11-01,4.0,5.0,4.0,5.0,5.0,5,2.0,yes
793,NA,Family Leisure,No,Economy Class,Manila to Dubai,2022-10-01,3.0,3.0,3.0,0.0,1.0,4,0.0,no
794,NA,Couple Leisure,Yes,Economy Class,Honolulu to Denpasar via Manila,2022-10-01,3.0,1.0,1.0,4.0,1.0,4,0.0,no
795,NA,Solo Leisure,Yes,Economy Class,Los Angeles to Melbourne via Manila,2022-10-01,2.0,4.0,3.0,2.0,1.0,3,1.0,no
796,NA,Solo Leisure,Yes,Economy Class,Del Carme Siago to Denpasar via Manila,2022-10-01,5.0,5.0,0.0,0.0,2.0,2,0.0,no
